model,rho,alpha,beta,gamma
A (hit_rate only),0.403,-,-,-
B' (linear reg),0.7526,-0.8204,-1.7981,-3.2602
C (L_Q bottleneck),0.695,0.1,0.0,1.3
C' (L_struct bottleneck),0.8292,0.4,0.0,0.8
D (multiplicative),0.8156,0.1,0.1,0.1
