alpha,beta,gamma,fold,id
0.4,0.0,0.8,0,q024
0.4,0.0,0.8,1,q075
0.4,0.0,0.8,2,q009
0.4,0.0,0.8,3,q080
0.4,0.0,0.8,4,q037
0.4,0.0,0.7,5,q100
0.4,0.0,0.8,6,q015
0.4,0.0,0.7,7,q012
0.4,0.0,0.8,8,q049
0.4,0.0,0.8,9,q033
0.4,0.0,0.8,10,q071
0.4,0.0,0.8,11,q061
0.4,0.0,0.8,12,q083
0.4,0.0,0.8,13,q025
0.4,0.0,0.8,14,q095
0.4,0.0,0.8,15,q032
0.4,0.0,0.8,16,q044
0.4,0.0,0.8,17,q019
0.4,0.0,0.8,18,q069
0.3,0.0,0.9,19,q063
