fr_threshold,hits,total,hit_rate,new_hits,rho,rho_detail,f4_fired,decision_changes
0.35,181,310,0.5839,0,0.95,19/20,45,0
0.30,190,310,0.6129,9,0.95,19/20,45,4
0.25,191,310,0.6161,10,0.95,19/20,45,4
0.20,191,310,0.6161,10,0.95,19/20,45,4
