id,O,BLEU,BERTScore_F1,SBert_cos,UGHer_1mdE
q024,2.0,0.0277,0.8382,0.7653,0.7581
q075,4.0,0.055,0.8476,0.817,0.963
q009,5.0,0.0429,0.8448,0.8062,1.0
q080,4.0,0.046,0.8498,0.8194,0.963
q037,3.0,0.0466,0.8463,0.7906,0.963
q100,4.0,0.0373,0.8501,0.6367,0.8414
q015,2.0,0.0323,0.845,0.6412,0.8519
q012,3.0,0.0284,0.8425,0.4605,0.9974
q049,4.0,0.05,0.8457,0.7058,1.0
q033,3.0,0.035,0.8444,0.7144,0.9349
q071,4.0,0.0524,0.8461,0.8053,0.9604
q061,4.0,0.0449,0.8437,0.7941,0.963
q083,5.0,0.0643,0.8567,0.8347,1.0
q025,3.0,0.1005,0.8752,0.8141,0.7963
q095,2.0,0.0442,0.8438,0.7715,0.8102
q032,1.0,0.0403,0.8339,0.5796,0.625
q044,3.0,0.0542,0.8466,0.6351,0.9604
q019,4.0,0.1107,0.8654,0.6067,0.9525
q069,3.0,0.0109,0.8321,0.6256,0.8519
q063,5.0,0.0514,0.8539,0.6523,1.0
