rank,alpha,beta,gamma,rho,p
1,0.8,0.6,0.0,0.4892,0.028602
2,0.8,0.7,0.0,0.4892,0.028602
3,0.8,0.8,0.0,0.4892,0.028602
4,0.8,0.9,0.0,0.4892,0.028602
5,0.8,1.0,0.0,0.4892,0.028602
6,0.9,0.7,0.0,0.4892,0.028602
7,0.9,0.8,0.0,0.4892,0.028602
8,0.9,0.9,0.0,0.4892,0.028602
9,0.9,1.0,0.0,0.4892,0.028602
10,1.0,0.7,0.0,0.4892,0.028602
